vacc_id,vacc_name,vacc_vocab,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6
710010,"Inactivated adjuvanted, influenza virus vaccine, quadrivalent (aIIV4), preservative free, 0.5 mL dosage, for intramuscular use",CPT4,,,,,,influenza,,,,,,
46257714,"Split virus, preservative-free influenza virus vaccine, quadrivalent (IIV4), for intradermal use",CPT4,,,,,,influenza,,,,,,
46257714,Vaccine for influenza for injection into skin,CPT4,,,,,,influenza,,,,,,
46257714,INFLUENZA VACC IIV4 SPLIT VIRUS PRSRV FREE ID,CPT4,,,,,,influenza,,,,,,
710010,"Influenza virus vaccine, quadrivalent (aIIV4), inactivated, adjuvanted, preservative free, for injection into muscle, 0.5 ml dosage",CPT4,,,,,,influenza,,,,,,
2213459,DIPHTH TETANUS TOX ACELL PERTUSSIS VACC<7 YR IM,CPT4,,tetanus,pertussis,,,,,,,,,
2213471,"Inactivated poliovirus vaccine (IPV), for intramuscular use",CPT4,,,,poliovirus,,,,,,poliovirus inactivated,,
2213471,"Inactivated poliovirus vaccine (IPV), for subcutaneous use",CPT4,,,,poliovirus,,,,,,poliovirus inactivated,,
2213471,Vaccine for polio injection beneath the skin or into muscle,CPT4,,,,poliovirus,,,,,,,,
2213471,POLIOVIRUS VACCINE INACTIVATED SUBQ/IM,CPT4,,,,poliovirus,,,,,,poliovirus inactivated,,
43527980,"Inactivated adjuvanted influenza virus vaccine(IIV), for intramuscular use",CPT4,,,,,,influenza,,,,,,
43527980,"Vaccine for influenza for injection into muscle, inactivated",CPT4,,,,,,influenza,,,,,,
2213473,TDAP VACCINE 7 YRS/> IM,CPT4,,,,,,,,,acellular pertussis,,,
42742499,"Split virus, preservative-free influenza virus vaccine, trivalent (IIV3), for intradermal use",CPT4,,,,,,influenza,,,,,,
42742499,Vaccine for influenza injection into skin,CPT4,,,,,,influenza,,,,,,
42742499,INFLUENZA VACC IIV3 SPLIT VIRUS PRSRV FREE ID,CPT4,,,,,,influenza,,,,,,
2213474,"Live varicella virus (VAR) vaccine, for subcutaneous use",CPT4,,,,varicella,,,,,,varicella live,,
2213437,"Split virus, preservative-free influenza virus vaccine, trivalent (IIV3), 0.25 mL dosage, for intramuscular use",CPT4,,,,,,influenza,,,,,,
2213437,"Vaccine for influenza for administration into muscle, 0.25 ml dosage, preservative free",CPT4,,,,,,influenza,,,,,,
2213474,Vaccine for varicella (chicken pox) injection beneath skin,CPT4,,,,varicella,,,,,,,,
2213438,"Split virus, preservative-free influenza virus vaccine, trivalent (IIV3), 0.5 mL dosage, for intramuscular use",CPT4,,,,,,influenza,,,,,,
2213438,"Vaccine for influenza for administration into muscle, 0.5 ml dosage, preservative free",CPT4,,,,,,influenza,,,,,,
2213475,"Live yellow fever vaccine, for subcutaneous use",CPT4,,,,,,yellow fever,,,,,,
2213439,"Split virus influenza virus vaccine, trivalent (IIV3), 0.25 mL dosage, for intramuscular use",CPT4,,,,,,influenza,,,,,,
2213475,YELLOW FEVER VACCINE LIVE SUBQ,CPT4,,,,,,yellow fever,,,,,,
2213475,Vaccine for yellow fever injection beneath skin,CPT4,,,,,,yellow fever,,,,,,
2213439,"Vaccine for influenza for administration into muscle, 0.25 ml dosage",CPT4,,,,,,influenza,,,,,,
2213440,"Split virus influenza virus vaccine, trivalent (IIV3), 0.5 mL dosage, for intramuscular use",CPT4,,,,,,influenza,,,,,,
2213440,"Vaccine for influenza for administration into muscle, 0.5 ml dosage",CPT4,,,,,,influenza,,,,,,
2213442,"Live influenza virus vaccine, trivalent (LAIV3), for intranasal use",CPT4,,,,,,influenza,,,,,,influenza live
2213442,Vaccine for influenza for nasal administration,CPT4,,,,,,influenza,,,,,,
2213422,Vaccine for adenovirus oral administration (type 4),CPT4,,,,,,adenovirus,,,,,,
2213422,"Live adenovirus vaccine, type 4, for oral use",CPT4,,,,,,adenovirus,,,,,,adenovirus live
2213483,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older",CPT4,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
2213422,ADENOVIRUS VACCINE TYPE 4 LIVE ORAL,CPT4,,,,,,adenovirus,,,,,,adenovirus live
2213423,"Live adenovirus vaccine, type 7, for oral use",CPT4,,,,,,adenovirus,,,,,,adenovirus live
2213423,Vaccine for adenovirus oral administration (type 7),CPT4,,,,,,adenovirus,,,,,,
2213443,"Influenza virus vaccine, derived from cell cultures, subunit, preservative and antibiotic free, trivalent (ccIIV3), for intramuscular use",CPT4,,,,,,influenza,,,,,,
2213443,"Vaccine for influenza for administration into muscle, 0.5 ml dosage, preservative and antibiotic free",CPT4,,,,,,influenza,,,,,,
2213484,"Meningococcal polysaccharide vaccine serogroups A, C, Y, W-135, quadrivalent (MPSV4), for subcutaneous use",CPT4,,,,,,meningococcal,,,,,,meningococcal polysaccharide
2213444,"Vaccine for influenza for injection into muscle, split virus, preservation free",CPT4,,,,,,influenza,,,,,,
2213423,ADENOVIRUS VACCINE TYPE 7 LIVE FOR ORAL,CPT4,,,,,,adenovirus,,,,,,adenovirus live
2213485,"Meningococcal conjugate vaccine, serogroups A, C, Y and W-135 quadrivalent (MCV4 or MenACWY), for intramuscular use",CPT4,,,,,,meningococcal,,,,,,meningococcal conjugate
40756887,"Live influenza virus vaccine (LAIV), pandemic formulation, for intranasal use",CPT4,,,,,,influenza,,,,,,influenza live
40756887,"Vaccine for influenza for nasal administration, pandemic formulation",CPT4,,,,,,influenza,,,,,,
40756874,"Vaccine for influenza for injection into muscle, pandemic formulation, preservative free",CPT4,,,,,,influenza,,,,,,
40756874,"Split virus, preservative free influenza virus vaccine (IIV), pandemic formulation, for intramuscular use",CPT4,,,,,,influenza,,,,,,
2213487,"Live zoster (shingles) vaccine (HZV), for subcutaneous injection",CPT4,,,,varicella,,,,,,varicella live,,
40756874,INFLUENZA VACCINE PANDEMIC SPLT PRSRV FREE IM,CPT4,,,,,,influenza,,,,,,
40756960,"Vaccine for influenza for injection into muscle, pandemic formulation, adjuvanted",CPT4,,,,,,influenza,,,,,,
40756960,"Split virus, adjuvanted influenza virus vaccine (IIV), pandemic formulation, for intramuscular use",CPT4,,,,,,influenza,,,,,,
2213487,ZOSTER VACCINE HZV LIVE FOR SUBCUTANEOUS USE,CPT4,,,,varicella,,,,,,varicella live,,
40757097,"Split virus, influenza virus vaccine (IIV), pandemic formulation, for intramuscular use",CPT4,,,,,,influenza,,,,,,
2213488,"Inactivated Japanese encephalitis virus vaccine, for intramuscular use",CPT4,,,,,,japanese encephalitis,,,,,,
40757097,"Vaccine for influenza for injection into muscle, pandemic formulation",CPT4,,,,,,influenza,,,,,,
42628615,"Live dengue vaccine, quadrivalent, 3 dose schedule, for subcutaneous use",CPT4,,,,,,dengue,,,,,,
42628615,Vaccine for dengue for injection under skin,CPT4,,,,,,dengue,,,,,,
2213488,JAPANESE ENCEPHALITIS VACCINE INACTIVATED IM,CPT4,,,,,,japanese encephalitis,,,,,,
2213488,Vaccine for Japanese encephalitis virus injection into muscle,CPT4,,,,,,japanese encephalitis,,,,,,
42628615,"Dengue vaccine, quadrivalent, live, 3 dose schedule, for subcutaneous use | [Therapeutic or Preventive Procedure]",CPT4,,,,,,dengue,,,,,,
2213448,"Pneumococcal conjugate vaccine, 13-valent (PCV13), for intramuscular use",CPT4,,,,,,pneumococcal,,,,,,pneumococcal conjugate
43527982,"Hepatitis B (HepB) vaccine, adult dosage, 2 dose schedule, for intramuscular use",CPT4,,,,,hepatitis b,,,,,,,
2213448,Pneumococcal vaccine for injection into muscle,CPT4,,,,,,pneumococcal,,,,,,
710009,"Meningococcal conjugate vaccine, serogroups A, C, W, Y, quadrivalent, tetanus toxoid carrier (MenACWY-TT) for injection into muscle",CPT4,,,,,,meningococcal,,,,,,meningococcal conjugate
43527982,Vaccine for Hepatitis B adult dosage (2 dose schedule) injection into muscle,CPT4,,,,,hepatitis b,,,,,,,
710009,"Meningococcal conjugate vaccine, serogroups A, C, W, Y, quadrivalent, tetanus toxoid carrier (MenACWY-TT), for intramuscular use | [Therapeutic or Preventive Procedure]",CPT4,,,,,,meningococcal,,,,,,meningococcal conjugate
43527981,"Live influenza virus vaccine, quadrivalent (LAIV4), for intranasal use",CPT4,,,,,,influenza,,,,,,influenza live
43527981,"Vaccine for influenza for nasal administration, quadrivalent",CPT4,,,,,,influenza,,,,,,
2213489,"Hepatitis B (HepB) vaccine, dialysis patient dosage, 3 dose schedule, for intramuscular use",CPT4,,,,,hepatitis b,,,,,,,
44816443,"Live preservative-free influenza virus vaccine, trivalent (RIV3), derived from recombinant DNA, hemagglutinin (HA) protein only, for intramuscular use",CPT4,,,,,,influenza,,,,,,influenza live
