vacc_id,target_concept_id,source_attribute_set,target_attribute_set
40213264,1,D_adenovirus; M_adenovirus_live,D_adenovirus; M_adenovirus_live
40213265,1,D_adenovirus; M_adenovirus_live,D_adenovirus; M_adenovirus_live
40213266,1,D_adenovirus; M_adenovirus_live,D_adenovirus; M_adenovirus_live
2213422,1,D_adenovirus; M_adenovirus_live,D_adenovirus; M_adenovirus_live
2213423,1,D_adenovirus; M_adenovirus_live,D_adenovirus; M_adenovirus_live
40213268,2,D_anthrax,D_anthrax
2213424,2,D_anthrax,D_anthrax
40213275,3,D_cholera,D_cholera
42628540,3,D_cholera,D_cholera
2213481,3,D_cholera,D_cholera
724906,4,D_covid_19; M_covid_19_mRNA,D_covid_19; M_covid_19_mRNA
724907,4,D_covid_19; M_covid_19_mRNA,D_covid_19; M_covid_19_mRNA
724905,5,D_covid_19; M_covid_19_vector,D_covid_19; M_covid_19_vector
702866,5,D_covid_19; M_covid_19_vector,D_covid_19; M_covid_19_vector
40213278,6,D_dengue,D_dengue
42628615,6,D_dengue,D_dengue
40213279,7,D_diphtheria; M_diphtheria_antitoxin,D_diphtheria; M_diphtheria_antitoxin
2213401,7,D_diphtheria; M_diphtheria_antitoxin,D_diphtheria; M_diphtheria_antitoxin
2213460,8,D_diphtheria; D_tetanus; D_pertussis; M_diphtheria_toxoid; M_tetanus_toxoid; M_whole_cell_pertussis,D_diphtheria; M_diphtheria_toxoid; D_tetanus; M_tetanus_toxoid; D_pertussis; M_whole_cell_pertussis
40213288,11,D_diphtheria; D_tetanus; D_pertussis; D_poliovirus; D_haemophilus_influenza; M_diphtheria_toxoid; M_tetanus_toxoid; M_acellular_pertussis; M_poliovirus_inactivated; M_haemophilus_influenza_conjugate,D_diphtheria; M_diphtheria_toxoid; D_tetanus; M_tetanus_toxoid; D_pertussis; M_acellular_pertussis; D_haemophilus_influenza; M_haemophilus_influenza_conjugate; D_poliovirus; M_poliovirus_inactivated
40213285,11,D_diphtheria; D_tetanus; D_pertussis; D_poliovirus; D_haemophilus_influenza; M_diphtheria_toxoid; M_tetanus_toxoid; M_acellular_pertussis; M_poliovirus_inactivated; M_haemophilus_influenza_conjugate,D_diphtheria; M_diphtheria_toxoid; D_tetanus; M_tetanus_toxoid; D_pertussis; M_acellular_pertussis; D_haemophilus_influenza; M_haemophilus_influenza_conjugate; D_poliovirus; M_poliovirus_inactivated
40213298,13,D_hepatitis_a; M_hepatitis_a_live,D_hepatitis_a; M_hepatitis_a_live
40213303,14,D_hepatitis_a; D_hepatitis_b,D_hepatitis_b; D_hepatitis_a
706109,14,D_hepatitis_a; D_hepatitis_b,D_hepatitis_b; D_hepatitis_a
2213430,14,D_hepatitis_a; D_hepatitis_b,D_hepatitis_b; D_hepatitis_a
40213309,15,D_hepatitis_c,D_hepatitis_c
40213310,16,D_hepatitis_e,D_hepatitis_e
40213319,17,D_human_papilomavirus,D_human_papilomavirus
40213321,17,D_human_papilomavirus,D_human_papilomavirus
40213322,17,D_human_papilomavirus,D_human_papilomavirus
40213320,17,D_human_papilomavirus,D_human_papilomavirus
46257428,17,D_human_papilomavirus,D_human_papilomavirus
